API Function,Risk Level,Usage Count,Risk Scenario,Sample Files,Developer Recommendation
get,MEDIUM,51,Requires manual analysis for specific impact,framework/web/Response.php; framework/web/UrlManager.php,Recommend configuring protection
createUrl,HIGH,37,URL generation - host header influences generated URLs,framework/web/UrlManager.php,Must configure trusted proxy and host validation
elseif,MEDIUM,29,Requires manual analysis for specific impact,framework/web/Response.php,Recommend configuring protection
to,HIGH,26,URL generation - host header influences generated URLs,framework/web/Response.php,Must configure trusted proxy and host validation
substr,MEDIUM,22,Requires manual analysis for specific impact,framework/web/UrlManager.php,Recommend configuring protection
toRoute,HIGH,22,URL generation - host header influences generated URLs,framework/web/UrlManager.php,Must configure trusted proxy and host validation
has,MEDIUM,22,Requires manual analysis for specific impact,framework/web/Request.php,Recommend configuring protection
set,MEDIUM,20,Requires manual analysis for specific impact,framework/web/Response.php,Recommend configuring protection
InvalidConfigException,MEDIUM,18,Requires manual analysis for specific impact,framework/web/Response.php,Recommend configuring protection
createObject,MEDIUM,18,Requires manual analysis for specific impact,framework/web/Response.php; framework/web/UrlManager.php,Recommend configuring protection
stdout,MEDIUM,14,Requires manual analysis for specific impact,framework/console/controllers/ServeController.php,Recommend configuring protection
send,MEDIUM,14,Requires manual analysis for specific impact,framework/web/Response.php,Recommend configuring protection
is_array,MEDIUM,14,Requires manual analysis for specific impact,framework/web/Response.php,Recommend configuring protection
str_replace,MEDIUM,11,Requires manual analysis for specific impact,framework/web/Response.php,Recommend configuring protection
strncmp,MEDIUM,11,Requires manual analysis for specific impact,framework/web/Response.php; framework/web/UrlManager.php,Recommend configuring protection
createAbsoluteUrl,HIGH,11,URL generation - host header influences generated URLs,framework/web/UrlManager.php,Must configure trusted proxy and host validation
in_array,MEDIUM,10,Requires manual analysis for specific impact,framework/web/Response.php,Recommend configuring protection
add,MEDIUM,10,Requires manual analysis for specific impact,framework/web/Request.php; framework/web/Response.php,Recommend configuring protection
parseRequest,MEDIUM,9,Requires manual analysis for specific impact,framework/web/UrlManager.php,Recommend configuring protection
ensureScheme,MEDIUM,9,Requires manual analysis for specific impact,framework/helpers/BaseUrl.php; framework/web/UrlManager.php,Recommend configuring protection
current,MEDIUM,9,Requires manual analysis for specific impact,framework/helpers/BaseUrl.php,Recommend configuring protection
Copyright,MEDIUM,8,Requires manual analysis for specific impact,framework/web/Response.php; framework/console/controllers/ServeController.php,Recommend configuring protection
array_merge,MEDIUM,8,Requires manual analysis for specific impact,framework/web/Response.php; framework/console/controllers/ServeController.php,Recommend configuring protection
unset,MEDIUM,8,Requires manual analysis for specific impact,framework/web/Response.php; framework/web/UrlManager.php,Recommend configuring protection
debug,MEDIUM,8,Requires manual analysis for specific impact,framework/web/UrlManager.php,Recommend configuring protection
validate,MEDIUM,8,Requires manual analysis for specific impact,framework/web/Request.php,Recommend configuring protection
parseAcceptHeader,MEDIUM,8,Response handling - Host header affects response content,framework/web/Request.php,Recommend configuring protection
explode,MEDIUM,7,Requires manual analysis for specific impact,framework/web/Request.php; framework/console/controllers/ServeController.php,Recommend configuring protection
parameters,MEDIUM,7,Requires manual analysis for specific impact,framework/web/Response.php; framework/web/UrlManager.php,Recommend configuring protection
redirect,HIGH,7,Redirects - host header affects redirect destinations,framework/web/Response.php,Must configure trusted proxy and host validation
URL,HIGH,7,URL generation - host header influences generated URLs,framework/web/Request.php; framework/web/Response.php,Must configure trusted proxy and host validation
normalizeRoute,HIGH,7,URL generation - host header influences generated URLs,framework/web/UrlRule.php; framework/web/UrlManager.php,Must configure trusted proxy and host validation
validateCsrfTokenInternal,MEDIUM,7,Requires manual analysis for specific impact,framework/web/Request.php,Recommend configuring protection
list,MEDIUM,6,Requires manual analysis for specific impact,framework/web/Response.php; framework/console/controllers/ServeController.php,Recommend configuring protection
trigger,MEDIUM,6,Requires manual analysis for specific impact,framework/web/Response.php,Recommend configuring protection
sendFile,MEDIUM,6,Requires manual analysis for specific impact,framework/web/Response.php,Recommend configuring protection
basename,MEDIUM,6,Requires manual analysis for specific impact,framework/web/Request.php; framework/web/Response.php,Recommend configuring protection
buildRules,MEDIUM,6,Requires manual analysis for specific impact,framework/web/UrlManager.php,Recommend configuring protection
rtrim,MEDIUM,6,Requires manual analysis for specific impact,framework/web/Request.php; framework/web/UrlManager.php,Recommend configuring protection
strtolower,MEDIUM,6,Requires manual analysis for specific impact,framework/web/Request.php,Recommend configuring protection
strtoupper,MEDIUM,6,Requires manual analysis for specific impact,framework/web/Request.php,Recommend configuring protection
init,MEDIUM,5,Requires manual analysis for specific impact,framework/web/Response.php; framework/web/UrlManager.php,Recommend configuring protection
info,MEDIUM,5,Requires manual analysis for specific impact,framework/web/UrlManager.php,Recommend configuring protection
ensureCache,MEDIUM,5,Requires manual analysis for specific impact,framework/web/UrlManager.php,Recommend configuring protection
trimSlashes,MEDIUM,5,Requires manual analysis for specific impact,framework/web/UrlRule.php,Recommend configuring protection
translatePattern,MEDIUM,5,Requires manual analysis for specific impact,framework/web/UrlRule.php,Recommend configuring protection
substitutePlaceholderNames,MEDIUM,5,Requires manual analysis for specific impact,framework/web/UrlRule.php,Recommend configuring protection
scheme,MEDIUM,5,Requires manual analysis for specific impact,framework/helpers/BaseUrl.php,Recommend configuring protection
prepare,MEDIUM,4,Requires manual analysis for specific impact,framework/web/Response.php,Recommend configuring protection
InvalidArgumentException,MEDIUM,4,Requires manual analysis for specific impact,framework/web/Response.php,Recommend configuring protection
get_class,MEDIUM,4,Requires manual analysis for specific impact,framework/web/Response.php; framework/web/UrlManager.php,Recommend configuring protection
warning,MEDIUM,4,Requires manual analysis for specific impact,framework/web/Response.php; framework/web/UrlManager.php,Recommend configuring protection
sendStreamAsFile,MEDIUM,4,Requires manual analysis for specific impact,framework/web/Response.php,Recommend configuring protection
xSendFile,MEDIUM,4,Requires manual analysis for specific impact,framework/web/Response.php,Recommend configuring protection
AJAX,MEDIUM,4,Requires manual analysis for specific impact,framework/web/Request.php; framework/web/Response.php,Recommend configuring protection
remove,MEDIUM,4,Requires manual analysis for specific impact,framework/web/Request.php; framework/web/Response.php,Recommend configuring protection
className,MEDIUM,4,Requires manual analysis for specific impact,framework/web/UrlRule.php; framework/web/UrlManager.php,Recommend configuring protection
normalizePathInfo,MEDIUM,4,Requires manual analysis for specific impact,framework/web/UrlRule.php; framework/web/UrlManager.php,Recommend configuring protection
route,HIGH,4,URL generation - host header influences generated URLs,framework/web/UrlManager.php,Must configure trusted proxy and host validation
t,MEDIUM,4,Requires manual analysis for specific impact,framework/web/Request.php; framework/filters/HostControl.php,Recommend configuring protection
parse,MEDIUM,4,Requires manual analysis for specific impact,framework/web/Request.php,Recommend configuring protection
preg_replace,MEDIUM,4,Requires manual analysis for specific impact,framework/web/Request.php; framework/web/UrlRule.php,Recommend configuring protection
unmaskToken,MEDIUM,4,Requires manual analysis for specific impact,framework/web/Request.php,Recommend configuring protection
preg_match_all,MEDIUM,4,Requires manual analysis for specific impact,framework/web/Request.php; framework/web/UrlRule.php,Recommend configuring protection
strtr,MEDIUM,4,Requires manual analysis for specific impact,framework/web/UrlRule.php,Recommend configuring protection
previous,MEDIUM,4,Requires manual analysis for specific impact,framework/helpers/BaseUrl.php,Recommend configuring protection
denyAccess,MEDIUM,4,Requires manual analysis for specific impact,framework/filters/HostControl.php,Recommend configuring protection
runCommand,MEDIUM,3,Requires manual analysis for specific impact,framework/console/controllers/ServeController.php,Recommend configuring protection
options,MEDIUM,3,Requires manual analysis for specific impact,framework/console/controllers/ServeController.php,Recommend configuring protection
optionAliases,MEDIUM,3,Requires manual analysis for specific impact,framework/console/controllers/ServeController.php,Recommend configuring protection
fclose,MEDIUM,3,Requires manual analysis for specific impact,framework/web/Response.php; framework/console/controllers/ServeController.php,Recommend configuring protection
defaultFormatters,MEDIUM,3,Requires manual analysis for specific impact,framework/web/Response.php,Recommend configuring protection
sendHeaders,MEDIUM,3,Response handling - Host header affects response content,framework/web/Response.php,Recommend configuring protection
sendContent,MEDIUM,3,Requires manual analysis for specific impact,framework/web/Response.php,Recommend configuring protection
header,MEDIUM,3,Response headers - host header affects response headers,framework/web/Request.php; framework/web/Response.php,Recommend configuring protection
sendCookies,MEDIUM,3,Requires manual analysis for specific impact,framework/web/Response.php,Recommend configuring protection
function_exists,MEDIUM,3,Requires manual analysis for specific impact,framework/web/Request.php; framework/web/Response.php,Recommend configuring protection
call_user_func,MEDIUM,3,Requires manual analysis for specific impact,framework/web/Response.php; framework/filters/HostControl.php,Recommend configuring protection
flush,MEDIUM,3,Requires manual analysis for specific impact,framework/web/Response.php,Recommend configuring protection
ftell,MEDIUM,3,Requires manual analysis for specific impact,framework/web/Response.php,Recommend configuring protection
NotFoundHttpException,MEDIUM,3,Requires manual analysis for specific impact,framework/web/Request.php; framework/web/Response.php,Recommend configuring protection
refresh,MEDIUM,3,Requires manual analysis for specific impact,framework/web/Response.php,Recommend configuring protection
is_object,MEDIUM,3,Requires manual analysis for specific impact,framework/web/Request.php; framework/web/Response.php,Recommend configuring protection
method_exists,MEDIUM,3,Requires manual analysis for specific impact,framework/web/Response.php; framework/web/UrlManager.php,Recommend configuring protection
canBeCached,MEDIUM,3,Requires manual analysis for specific impact,framework/web/UrlManager.php,Recommend configuring protection
http_build_query,MEDIUM,3,Requires manual analysis for specific impact,framework/web/UrlRule.php; framework/web/UrlManager.php,Recommend configuring protection
channel,MEDIUM,3,Requires manual analysis for specific impact,framework/web/Request.php,Recommend configuring protection
filterHeaders,MEDIUM,3,Response handling - Host header affects response content,framework/web/Request.php,Recommend configuring protection
resolvePathInfo,MEDIUM,3,Requires manual analysis for specific impact,framework/web/Request.php,Recommend configuring protection
utf8Encode,MEDIUM,3,Requires manual analysis for specific impact,framework/web/Request.php,Recommend configuring protection
resolveRequestUri,MEDIUM,3,Requires manual analysis for specific impact,framework/web/Request.php,Recommend configuring protection
strcasecmp,MEDIUM,3,Requires manual analysis for specific impact,framework/web/Request.php,Recommend configuring protection
preg_split,MEDIUM,3,Requires manual analysis for specific impact,framework/web/Request.php,Recommend configuring protection
loadCookies,MEDIUM,3,Requires manual analysis for specific impact,framework/web/Request.php,Recommend configuring protection
loadCsrfToken,MEDIUM,3,Requires manual analysis for specific impact,framework/web/Request.php,Recommend configuring protection
generateCsrfToken,MEDIUM,3,Requires manual analysis for specific impact,framework/web/Request.php,Recommend configuring protection
createCsrfCookie,MEDIUM,3,Requires manual analysis for specific impact,framework/web/Request.php,Recommend configuring protection
beforeAction,MEDIUM,3,Requires manual analysis for specific impact,framework/web/Request.php; framework/filters/HostControl.php,Recommend configuring protection
preparePattern,MEDIUM,3,Requires manual analysis for specific impact,framework/web/UrlRule.php,Recommend configuring protection
strcmp,MEDIUM,3,Requires manual analysis for specific impact,framework/web/UrlRule.php,Recommend configuring protection
remember,MEDIUM,3,Requires manual analysis for specific impact,framework/helpers/BaseUrl.php,Recommend configuring protection
canonical,MEDIUM,3,Requires manual analysis for specific impact,framework/helpers/BaseUrl.php,Recommend configuring protection
HeaderCollection,MEDIUM,2,Response handling - Host header affects response content,framework/web/Request.php; framework/web/Response.php,Recommend configuring protection
ucwords,MEDIUM,2,Requires manual analysis for specific impact,framework/web/Request.php; framework/web/Response.php,Recommend configuring protection
set_time_limit,MEDIUM,2,Requires manual analysis for specific impact,framework/web/Response.php,Recommend configuring protection
fseek,MEDIUM,2,Requires manual analysis for specific impact,framework/web/Response.php,Recommend configuring protection
feof,MEDIUM,2,Requires manual analysis for specific impact,framework/web/Response.php,Recommend configuring protection
fread,MEDIUM,2,Requires manual analysis for specific impact,framework/web/Response.php,Recommend configuring protection
sendContentAsFile,MEDIUM,2,Requires manual analysis for specific impact,framework/web/Response.php,Recommend configuring protection
byteLength,MEDIUM,2,Requires manual analysis for specific impact,framework/web/Response.php,Recommend configuring protection
RangeNotSatisfiableHttpException,MEDIUM,2,Requires manual analysis for specific impact,framework/web/Response.php,Recommend configuring protection
byteSubstr,MEDIUM,2,Requires manual analysis for specific impact,framework/web/Response.php,Recommend configuring protection
transliterate,MEDIUM,2,Requires manual analysis for specific impact,framework/web/Response.php,Recommend configuring protection
CookieCollection,MEDIUM,2,Requires manual analysis for specific impact,framework/web/Request.php; framework/web/Response.php,Recommend configuring protection
format,MEDIUM,2,Requires manual analysis for specific impact,framework/web/Response.php,Recommend configuring protection
ensure,MEDIUM,2,Requires manual analysis for specific impact,framework/web/UrlManager.php,Recommend configuring protection
catch,MEDIUM,2,Requires manual analysis for specific impact,framework/web/Request.php; framework/web/UrlManager.php,Recommend configuring protection
substr_compare,MEDIUM,2,Requires manual analysis for specific impact,framework/web/UrlRule.php; framework/web/UrlManager.php,Recommend configuring protection
urlencode,MEDIUM,2,URL generation/redirect - Host header affects generated URLs,framework/web/UrlRule.php; framework/web/UrlManager.php,Recommend configuring protection
part,MEDIUM,2,Requires manual analysis for specific impact,framework/web/Request.php,Recommend configuring protection
beginForm,MEDIUM,2,Requires manual analysis for specific impact,framework/web/Request.php,Recommend configuring protection
csrfMetaTags,MEDIUM,2,Requires manual analysis for specific impact,framework/web/Request.php,Recommend configuring protection
methods,MEDIUM,2,Requires manual analysis for specific impact,framework/web/Request.php,Recommend configuring protection
fetch,MEDIUM,2,Requires manual analysis for specific impact,framework/web/Request.php,Recommend configuring protection
stripos,MEDIUM,2,Requires manual analysis for specific impact,framework/web/Request.php,Recommend configuring protection
mb_parse_str,MEDIUM,2,Requires manual analysis for specific impact,framework/web/Request.php,Recommend configuring protection
mark,MEDIUM,2,Requires manual analysis for specific impact,framework/web/Request.php,Recommend configuring protection
print_r,MEDIUM,2,Requires manual analysis for specific impact,framework/web/Request.php,Recommend configuring protection
validateData,MEDIUM,2,Requires manual analysis for specific impact,framework/web/Request.php,Recommend configuring protection
maskToken,MEDIUM,2,Requires manual analysis for specific impact,framework/web/Request.php,Recommend configuring protection
generateRandomString,MEDIUM,2,Requires manual analysis for specific impact,framework/web/Request.php,Recommend configuring protection
compareString,MEDIUM,2,Requires manual analysis for specific impact,framework/web/Request.php,Recommend configuring protection
slash,MEDIUM,2,Requires manual analysis for specific impact,framework/helpers/BaseUrl.php,Recommend configuring protection
registerLinkTag,MEDIUM,2,URL generation/redirect - Host header affects generated URLs,framework/helpers/BaseUrl.php,Recommend configuring protection
formName,MEDIUM,2,Requires manual analysis for specific impact,framework/helpers/BaseUrl.php,Recommend configuring protection
matchWildcard,MEDIUM,2,Requires manual analysis for specific impact,framework/filters/HostControl.php,Recommend configuring protection
renderFile,MEDIUM,2,Template rendering - Host header affects template output,framework/filters/HostControl.php,Recommend configuring protection
end,MEDIUM,2,Requires manual analysis for specific impact,framework/filters/HostControl.php,Recommend configuring protection
actionIndex,MEDIUM,1,Requires manual analysis for specific impact,framework/console/controllers/ServeController.php,Recommend configuring protection
is_dir,MEDIUM,1,Requires manual analysis for specific impact,framework/console/controllers/ServeController.php,Recommend configuring protection
file_exists,MEDIUM,1,Requires manual analysis for specific impact,framework/console/controllers/ServeController.php,Recommend configuring protection
fsockopen,MEDIUM,1,Requires manual analysis for specific impact,framework/console/controllers/ServeController.php,Recommend configuring protection
passthru,MEDIUM,1,Requires manual analysis for specific impact,framework/console/controllers/ServeController.php,Recommend configuring protection
retried,MEDIUM,1,Requires manual analysis for specific impact,framework/caching/MemCacheServer.php,Recommend configuring protection
type,MEDIUM,1,Requires manual analysis for specific impact,framework/web/Response.php,Recommend configuring protection
clear,MEDIUM,1,Requires manual analysis for specific impact,framework/web/Response.php,Recommend configuring protection
headers_sent,MEDIUM,1,Response handling - Host header affects response content,framework/web/Response.php,Recommend configuring protection
HeadersAlreadySentException,MEDIUM,1,Response handling - Host header affects response content,framework/web/Response.php,Recommend configuring protection
strtotime,MEDIUM,1,Requires manual analysis for specific impact,framework/web/Response.php,Recommend configuring protection
interface_exists,MEDIUM,1,Requires manual analysis for specific impact,framework/web/Response.php,Recommend configuring protection
is_callable,MEDIUM,1,Requires manual analysis for specific impact,framework/web/Response.php,Recommend configuring protection
actionFile,MEDIUM,1,Requires manual analysis for specific impact,framework/web/Response.php,Recommend configuring protection
chars,MEDIUM,1,Requires manual analysis for specific impact,framework/web/Response.php,Recommend configuring protection
is_file,MEDIUM,1,Requires manual analysis for specific impact,framework/web/Response.php,Recommend configuring protection
fopen,MEDIUM,1,Requires manual analysis for specific impact,framework/web/Response.php,Recommend configuring protection
range,MEDIUM,1,Requires manual analysis for specific impact,framework/web/Response.php,Recommend configuring protection
files,MEDIUM,1,Requires manual analysis for specific impact,framework/web/Response.php,Recommend configuring protection
characters,MEDIUM,1,Requires manual analysis for specific impact,framework/web/Response.php,Recommend configuring protection
rawurlencode,MEDIUM,1,URL generation/redirect - Host header affects generated URLs,framework/web/Response.php,Recommend configuring protection
ajaxComplete,MEDIUM,1,Requires manual analysis for specific impact,framework/web/Response.php,Recommend configuring protection
alias,MEDIUM,1,Requires manual analysis for specific impact,framework/web/Response.php,Recommend configuring protection
InvalidRouteException,MEDIUM,1,URL generation/redirect - Host header affects generated URLs,framework/web/Response.php,Recommend configuring protection
Cookie,MEDIUM,1,Response headers - host header affects response headers,framework/web/Response.php,Recommend configuring protection
is_resource,MEDIUM,1,Requires manual analysis for specific impact,framework/web/Response.php,Recommend configuring protection
stream_get_meta_data,MEDIUM,1,Requires manual analysis for specific impact,framework/web/Response.php,Recommend configuring protection
addRules,MEDIUM,1,Requires manual analysis for specific impact,framework/web/UrlManager.php,Recommend configuring protection
rule,MEDIUM,1,Requires manual analysis for specific impact,framework/web/UrlManager.php,Recommend configuring protection
SuppressWarnings,MEDIUM,1,Requires manual analysis for specific impact,framework/web/Request.php,Recommend configuring protection
CSRF,MEDIUM,1,Requires manual analysis for specific impact,framework/web/Request.php,Recommend configuring protection
resolve,MEDIUM,1,Requires manual analysis for specific impact,framework/web/Request.php,Recommend configuring protection
IpValidator,MEDIUM,1,Requires manual analysis for specific impact,framework/web/Request.php,Recommend configuring protection
http_get_request_headers,MEDIUM,1,Response handling - Host header affects response content,framework/web/Request.php,Recommend configuring protection
request,MEDIUM,1,Requires manual analysis for specific impact,framework/web/Request.php,Recommend configuring protection
file_get_contents,MEDIUM,1,Requires manual analysis for specific impact,framework/web/Request.php,Recommend configuring protection
post,MEDIUM,1,Requires manual analysis for specific impact,framework/web/Request.php,Recommend configuring protection
parse_url,HIGH,1,URL generation - host header influences generated URLs,framework/web/Request.php,Must configure trusted proxy and host validation
dirname,MEDIUM,1,Requires manual analysis for specific impact,framework/web/Request.php,Recommend configuring protection
removed,MEDIUM,1,Requires manual analysis for specific impact,framework/web/Request.php,Recommend configuring protection
urldecode,MEDIUM,1,URL generation/redirect - Host header affects generated URLs,framework/web/Request.php,Recommend configuring protection
return,MEDIUM,1,Requires manual analysis for specific impact,framework/web/Request.php,Recommend configuring protection
switch,MEDIUM,1,Requires manual analysis for specific impact,framework/web/Request.php,Recommend configuring protection
chr,MEDIUM,1,Requires manual analysis for specific impact,framework/web/Request.php,Recommend configuring protection
ord,MEDIUM,1,Requires manual analysis for specific impact,framework/web/Request.php,Recommend configuring protection
used,MEDIUM,1,Requires manual analysis for specific impact,framework/web/Request.php,Recommend configuring protection
krsort,MEDIUM,1,Requires manual analysis for specific impact,framework/web/Request.php,Recommend configuring protection
strncasecmp,MEDIUM,1,Requires manual analysis for specific impact,framework/web/Request.php,Recommend configuring protection
array_map,MEDIUM,1,Requires manual analysis for specific impact,framework/web/Request.php,Recommend configuring protection
base64_decode,MEDIUM,1,Requires manual analysis for specific impact,framework/web/Request.php,Recommend configuring protection
mb_substr,MEDIUM,1,Requires manual analysis for specific impact,framework/web/Request.php,Recommend configuring protection
array_keys,MEDIUM,1,Requires manual analysis for specific impact,framework/web/Request.php,Recommend configuring protection
array_shift,MEDIUM,1,Requires manual analysis for specific impact,framework/web/Request.php,Recommend configuring protection
usort,MEDIUM,1,Requires manual analysis for specific impact,framework/web/Request.php,Recommend configuring protection
reset,MEDIUM,1,Requires manual analysis for specific impact,framework/web/Request.php,Recommend configuring protection
defined,MEDIUM,1,Requires manual analysis for specific impact,framework/web/Request.php,Recommend configuring protection
persisted,MEDIUM,1,Requires manual analysis for specific impact,framework/web/Request.php,Recommend configuring protection
validateCsrfToken,MEDIUM,1,Requires manual analysis for specific impact,framework/web/Request.php,Recommend configuring protection
array_pop,MEDIUM,1,Requires manual analysis for specific impact,framework/web/Request.php,Recommend configuring protection
use,MEDIUM,1,Requires manual analysis for specific impact,framework/web/Request.php,Recommend configuring protection
preg_grep,MEDIUM,1,Requires manual analysis for specific impact,framework/web/Request.php,Recommend configuring protection
array_reduce,MEDIUM,1,Requires manual analysis for specific impact,framework/web/Request.php,Recommend configuring protection
verb,MEDIUM,1,Requires manual analysis for specific impact,framework/web/UrlRule.php,Recommend configuring protection
implode,MEDIUM,1,Requires manual analysis for specific impact,framework/web/UrlRule.php,Recommend configuring protection
strrpos,MEDIUM,1,Requires manual analysis for specific impact,framework/web/UrlRule.php,Recommend configuring protection
array_key_exists,MEDIUM,1,Requires manual analysis for specific impact,framework/web/UrlRule.php,Recommend configuring protection
substr_replace,MEDIUM,1,Requires manual analysis for specific impact,framework/web/UrlRule.php,Recommend configuring protection
none,MEDIUM,1,Requires manual analysis for specific impact,framework/helpers/BaseUrl.php,Recommend configuring protection
all,MEDIUM,1,Requires manual analysis for specific impact,framework/helpers/BaseUrl.php,Recommend configuring protection
specified,MEDIUM,1,Requires manual analysis for specific impact,framework/helpers/BaseUrl.php,Recommend configuring protection
base,MEDIUM,1,Requires manual analysis for specific impact,framework/helpers/BaseUrl.php,Recommend configuring protection
home,HIGH,1,Requires manual analysis for specific impact,framework/helpers/BaseUrl.php,Must configure trusted proxy and host validation
array_replace_recursive,MEDIUM,1,Requires manual analysis for specific impact,framework/helpers/BaseUrl.php,Recommend configuring protection
behaviors,MEDIUM,1,Requires manual analysis for specific impact,framework/filters/HostControl.php,Recommend configuring protection
string,MEDIUM,1,Requires manual analysis for specific impact,framework/filters/HostControl.php,Recommend configuring protection
